Classification; Confidence; Direction; Speed in km/h; Time
Leichtes Nutzfahrzeug;7;Richtung B nach A;34;03.02.2020 05:22
PKW;2;Richtung B nach A;47;03.02.2020 05:22
Zweirad;3;Richtung B nach A;44;03.02.2020 05:22
Zweirad;7;Richtung B nach A;30;03.02.2020 05:22
PKW;9;Richtung A nach B;34;03.02.2020 05:22
Leichtes Nutzfahrzeug;6;Richtung A nach B;39;03.02.2020 05:23
Zweirad;8;Richtung A nach B;31;03.02.2020 05:23
Leichtes Nutzfahrzeug;9;Richtung A nach B;45;03.02.2020 05:25
PKW;8;Richtung A nach B;41;03.02.2020 05:25
Leichtes Nutzfahrzeug;9;Richtung B nach A;40;03.02.2020 05:26
PKW;9;Richtung B nach A;41;03.02.2020 05:27
PKW;6;Richtung A nach B;48;03.02.2020 05:30
LKW;8;Richtung A nach B;32;03.02.2020 05:33
PKW;8;Richtung A nach B;28;03.02.2020 05:33
PKW;9;Richtung A nach B;35;03.02.2020 05:35
Zweirad;9;Richtung B nach A;45;03.02.2020 05:36
PKW;8;Richtung A nach B;44;03.02.2020 05:37
PKW;9;Richtung B nach A;29;03.02.2020 05:38
LKW;7;Richtung A nach B;40;03.02.2020 05:39
PKW;9;Richtung A nach B;34;03.02.2020 05:39
Zweirad;7;Richtung B nach A;36;03.02.2020 05:42
Zweirad;8;Richtung B nach A;28;03.02.2020 05:42
PKW;8;Richtung A nach B;30;03.02.2020 05:42
Leichtes Nutzfahrzeug;7;Richtung A nach B;45;03.02.2020 05:45
Leichtes Nutzfahrzeug;7;Richtung A nach B;37;03.02.2020 05:47
Zweirad;2;Richtung A nach B;47;03.02.2020 05:47
Leichtes Nutzfahrzeug;8;Richtung A nach B;29;03.02.2020 05:47
PKW;9;Richtung A nach B;26;03.02.2020 05:47
LKW;5;Richtung A nach B;44;03.02.2020 05:49
PKW;10;Richtung A nach B;40;03.02.2020 05:50
Leichtes Nutzfahrzeug;9;Richtung A nach B;45;03.02.2020 05:50
PKW;8;Richtung A nach B;38;03.02.2020 05:51
PKW;8;Richtung A nach B;40;03.02.2020 05:51
